cell_id,lat,lon,PC1,PC2,PC3,PC4,kmeans_label,dbscan_label
83d511fffffffff,-54.40855240719864,-157.04000863223018,-0.351502022104312,2.8964793437444247,-0.0828250307367067,0.3985900437640815,1,2
83a529fffffffff,-12.475295869513834,-24.094978450569418,-1.4868013171392596,-1.105685044397314,0.1740183286572175,-0.397158068151397,0,1
83e286fffffffff,-61.82982093000057,-117.8068657954091,-1.6007693673962125,-1.2923408998321304,-0.1729809520795097,0.7717010249935936,0,1
8396e3fffffffff,-7.906530583707299,25.13978831839708,-1.3825284269725329,-0.9349078356195086,0.4914986909746956,-1.466583363794303,0,1
831603fffffffff,54.37429849099807,164.5635921637674,4.920028941375293,1.1116765413935492,-0.50108907144152,0.2973126263065577,2,3
835a88fffffffff,21.414909276218584,174.35608121833118,-0.6263025179596973,1.883830981716784,0.0464248355633705,-0.0501906109050706,1,2
83d0a0fffffffff,-49.18059780937568,5.607875912184731,-1.5322623760344982,-1.1801407608716394,0.0356027402303596,0.0690916566960102,0,1
832c94fffffffff,29.53594140410346,45.49208933070652,-1.4146045817308797,-0.9874418755717584,0.3938362092102747,-1.1376095410616274,0,1
8354c6fffffffff,10.32434589724066,-15.791871940380728,-0.8479914463441168,1.0750982326718994,0.1754714400088257,-0.4532925839444195,1,2
83f00afffffffff,-77.26936711114101,61.84535790887271,-1.5427203603799795,-1.197268754284957,0.0037612457268017,0.1763489982985358,0,1
838536fffffffff,0.4003645432383215,55.79619643281994,-1.4146463767141135,-0.987510327022238,0.3937089557468002,-1.1371808906978558,0,1
832e75fffffffff,36.30776913926705,138.1008931762814,6.490306376484921,0.873470099963001,0.317441782052864,-0.2738429367270962,2,3
83b801fffffffff,-30.045541929774306,128.76644010635155,-1.4299846545570996,-1.012631221564389,0.3470083991675101,-0.9798711403815406,0,1
832776fffffffff,48.91111243593766,-90.0888712705695,-1.7002218984836903,-1.4552233675363488,-0.4757847350432044,1.791688600772898,0,1
83e64efffffffff,-63.51932097034843,-0.4406776511796498,-1.580382399181373,-1.258951305263445,-0.1109086143409758,0.5626117835277021,0,1
833c72fffffffff,29.85521267432346,90.82711509675558,4.737371497219665,-2.8796969779408674,0.2201138912516689,-0.2134506951069642,3,0
83b246fffffffff,-29.78238028145744,-64.93976478235741,2.764229214796499,-2.674592285734592,-0.847174570829538,1.0210564618491649,3,0
83f24efffffffff,-72.64690967727032,-112.99691666102126,-1.6358749187796562,-1.349836458536644,-0.2798670579000137,1.1317444131352057,0,1
837625fffffffff,4.553679236767716,158.0873802515584,-0.3553398405227002,2.631208607101776,0.2424390284831991,-0.7463594545816511,1,2
83bb09fffffffff,-38.58853617198178,175.82867379731883,7.141351702763151,0.9124827517159838,0.3479335259029296,-0.4964857609442351,2,3
839e68fffffffff,-21.26228297356936,157.12263261287154,-0.0897915350254324,3.5951939750231823,0.1278998700479243,-0.3615959164865039,1,2
83368afffffffff,26.50869581411908,-152.7527973506535,-0.4628890319644241,2.5162451434713105,-0.1300143730652158,0.5274602461227019,1,2
835f28fffffffff,3.2891750195882743,-58.65000103038049,-1.5849410365368186,-1.2664174008339082,-0.124788327821313,0.6093652790314816,0,1
83c16bfffffffff,-29.032855824020054,-0.0582850991958057,-1.4785598349639175,-1.0921872184538068,0.1991112242591034,-0.4816829096304068,0,1
83144bfffffffff,58.37430773934678,146.9658536651703,3.746464371398027,1.5509483476748356,-0.4944862313914107,-0.1194621815228942,2,3
834940fffffffff,20.59912562223597,-116.06353924577658,5.279577210137512,1.758752171185146,-0.5931582587380391,1.698850670232723,2,3
83e431fffffffff,-60.23313328037735,106.90729801226884,-1.5299435430945578,-1.1763429969804506,0.042662906307553,0.0453096497105191,0,1
83296efffffffff,33.982126477839785,-134.18329852437176,-1.5698641603493917,-1.241724627589967,-0.0788836626015557,0.4547364704472944,0,1
83442bfffffffff,26.64477800248175,-87.98921860256846,-0.4239197684457038,2.9257522600868424,-0.660283091246264,2.2928526484055687,1,2
83af51fffffffff,-20.0642608141946,95.6397604982814,-0.246434878760425,3.0754904354622585,0.1371815200758813,-0.3836367398365769,1,2
833e99fffffffff,18.1176278582046,20.1928686497452,-1.4079146808057794,-0.976485215550521,0.4142049950583776,-1.206221327530838,0,1
838f4cfffffffff,-7.914312218821346,-74.3594536657743,5.883724349450346,-3.5451785525862904,-0.2931570055446624,1.7048937166227385,3,0
83319efffffffff,36.82627719722437,114.4185467248615,2.8888613672211703,-2.2735047293326924,-0.1997430602828691,-1.3245732162133912,3,0
83b970fffffffff,-37.66256424072485,128.568985928576,-1.454489595748188,-1.0527651955166497,0.2723980417152927,-0.7285478679941582,0,1
833276fffffffff,33.723645373038394,164.24584416419464,-0.405142191570391,2.6160337077041884,0.014634888710224,0.032492683002616,1,2
8386e3fffffffff,-3.846266371883637,79.47658547022374,3.2343320787383307,0.1899768319597985,-0.4607170466474813,-0.4105960435921038,2,3
832e84fffffffff,46.18187679808289,147.6586441630049,5.042699490879358,1.7360671616117926,-0.4632880479560611,-0.323940371694295,2,3
83dc23fffffffff,-56.88702406760575,-17.818965004707263,-1.5848878375089162,-1.266330271940863,-0.1246263523871766,0.6088196685084438,0,1
833b35fffffffff,40.18314971033486,-53.12874160304195,-0.4636271017919912,2.6197836268710115,-0.3328039366401912,1.202559719872594,1,2
832655fffffffff,38.77558938897445,-92.05848555348236,-0.9748726382171236,1.0480819145068565,-0.5725362100998688,2.055569505427331,1,2
8360d5fffffffff,17.054481906386496,70.6391108717615,-0.201950519421618,3.272753591753453,0.020330726273993,-0.0005275073645731,1,2
83f11bfffffffff,-81.32259513052068,92.77892809360114,-1.5894804983390194,-1.2738520908544275,-0.138609657367129,0.6559221095951668,0,1
833f8bfffffffff,26.20569801294749,17.696567599139417,-1.396517294924711,-0.9578186786872942,0.4489066916662683,-1.323113194112159,0,1
8366e4fffffffff,5.159588969098904,-74.21356649173237,3.102359113773255,-2.775515434026984,-0.85843732525287,1.0707853297774637,3,0
837918fffffffff,4.699207814317868,-136.1972909842307,-1.5032693406714277,-1.1326562263451243,0.1238780278629681,-0.2282616185911766,0,1
831250fffffffff,55.02501080911836,-111.4386621194872,-1.671087324029388,-1.4075070215495888,-0.387078502398,1.492883697126284,0,1
83b04efffffffff,-19.097479910717706,-121.5687713857419,-1.5355385757274094,-1.1855064914854112,0.0256276732319601,0.1026924403663829,0,1
837c14fffffffff,-1.342750807774919,-18.788534618432763,3.194038615331732,-2.456292666389176,-0.1840250931963212,-0.6406357967616041,3,0
