cell_id,lat,lon,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean,eq_energy_log,eq_days_since_last_major,cyclone_count,wind_mean,wind_max,pressure_min_mean,dist_nearest_volcano_km,volcano_count
834f4dfffffffff,12.860483003684275,145.63219372872305,267.0,4.905468164794008,6.2,36.554902621722846,15.057373517466319,12034.0,105.0,49.75903614457831,105.0,987.9896907216495,1833.9735354920576,0
838261fffffffff,-6.8007104636687155,1.847144254726385,0.0,,,,,,0.0,,,,1740.003751086532,0
83d22efffffffff,-46.447780004301265,-111.83698596146834,0.0,,,,,,0.0,,,,5751.284468751035,0
838b95fffffffff,-12.228276244268207,-54.440631657464415,0.0,,,,,,0.0,,,,7465.99137255939,0
838589fffffffff,-6.547595210713333,60.243302624612284,0.0,,,,,,5.0,25.0,25.0,1000.0,1705.4574386124907,0
838e09fffffffff,-13.166669580644916,-81.07263748112939,0.0,,,,,,0.0,,,,10092.041395307248,0
83ab41fffffffff,-16.42179934364982,75.67090761067314,0.0,,,,,,74.0,55.15555555555556,120.0,976.3351063829788,2166.384418100712,0
83beaafffffffff,-27.887013522581412,155.1195748865624,0.0,,,,,,12.0,39.16666666666667,47.5,994.375,2289.5649489962893,0
83c0c5fffffffff,-42.02000079880342,-7.624560491028689,0.0,,,,,,0.0,,,,5673.740577671769,0
83e45dfffffffff,-62.6069023127278,83.13474872450634,0.0,,,,,,0.0,,,,5046.585079776598,0
831420fffffffff,57.11658250823683,123.09173664425967,5.0,5.24,6.0,29.440000000000005,13.882353389199716,13581.0,0.0,,,,2762.386148864858,0
835311fffffffff,24.638830481123314,39.47935355496141,0.0,,,,,,0.0,,,,1311.672516725407,0
83e56dfffffffff,-72.68949091540837,102.14681760467246,0.0,,,,,,0.0,,,,5475.079621637461,0
83509bfffffffff,28.577081004746834,-122.81296284662007,0.0,,,,,,8.0,24.0625,32.5,1007.1666666666666,7506.582948523348,0
83cf21fffffffff,-55.05720647053508,-80.6046089522024,0.0,,,,,,0.0,,,,7344.111610509229,0
8310f1fffffffff,57.7147613935434,55.83727238605145,0.0,,,,,,0.0,,,,3254.2130161391724,0
833f06fffffffff,35.33469840333059,16.907092547911013,0.0,,,,,,0.0,,,,317.89225248410764,0
838969fffffffff,-12.9078240660154,-163.86564682599308,0.0,,,,,,12.0,35.0,45.0,992.875,1302.458008550185,0
83dd6efffffffff,-59.80552853451931,-32.95136801020858,11.0,5.199999999999999,6.0,14.354545454545455,14.227090126644747,8332.0,0.0,,,,7904.416262853848,0
836d2cfffffffff,16.322878543965825,-91.12875352866655,20.0,5.013,6.26,23.826999999999998,14.460888964703626,36749.0,9.0,31.38888888888889,52.5,989.0714285714286,9924.755049851434,0
837551fffffffff,2.1608190282518884,-1.2158355731932444,0.0,,,,,,0.0,,,,1376.2256054124218,0
83ef1efffffffff,-81.04834395654898,-28.8975090377654,0.0,,,,,,0.0,,,,6673.370152139442,0
831064fffffffff,67.3825572614013,49.584570530862365,0.0,,,,,,0.0,,,,3637.8597670891418,0
835ce2fffffffff,7.454978875852931,-149.83079231401967,0.0,,,,,,0.0,,,,3827.088890770105,0
832db4fffffffff,32.49558301023584,33.652017918843235,1.0,5.88,5.88,15.0,13.620000000000001,,0.0,,,,872.4149395312144,0
831089fffffffff,54.75484810663876,54.88889613585932,0.0,,,,,,0.0,,,,3030.855771719011,0
831742fffffffff,60.78756337256616,170.21927715296593,1.0,4.6,4.6,10.0,11.7,,1.0,,,992.5,4186.000592557111,0
8378a8fffffffff,-3.852768480489405,-137.8702763301993,0.0,,,,,,0.0,,,,4329.864116110013,0
8322f3fffffffff,52.44420789987203,-167.0243043335019,170.0,5.032470588235294,6.8,26.93865294117647,15.725033403293294,1654.0,1.0,60.0,60.0,996.0,5316.156305540433,0
839d1cfffffffff,-18.8337993443369,150.2195920129676,0.0,,,,,,59.0,42.894345238095234,115.0,990.0267857142857,1498.0163825687082,0
83109efffffffff,50.23332711758618,51.37061193466945,1.0,5.1,5.1,10.0,12.45,,0.0,,,,2581.7850087264583,0
8392a5fffffffff,-10.422264979921973,-109.50424413797484,1.0,4.5,4.5,10.0,11.55,,0.0,,,,7161.292553837018,0
83d1aafffffffff,-44.181066895458095,4.545271284386911,0.0,,,,,,0.0,,,,5166.293204010272,0
83ce76fffffffff,-43.87204272046495,-83.6656043701087,0.0,,,,,,0.0,,,,7855.307730622782,0
830371fffffffff,82.66108265401064,-59.905328634587526,0.0,,,,,,0.0,,,,5286.925544770857,0
833648fffffffff,29.054815979689973,-136.58197578708524,0.0,,,,,,2.0,25.0,25.0,1007.25,6499.086562152519,0
8378acfffffffff,-2.8180624681502664,-138.0229960125143,0.0,,,,,,0.0,,,,4354.948733188966,0
83a960fffffffff,-29.156242339268324,-58.143772503121795,0.0,,,,,,0.0,,,,8311.404849682902,0
833968fffffffff,43.2123871474538,5.34791650635512,13.0,2.5408333333333335,5.6,5.338461538461539,13.371503600864328,,0.0,,,,758.3038842314762,0
83d4dafffffffff,-37.64371639650074,-161.25111999059325,0.0,,,,,,8.0,49.0625,60.0,979.5625,1896.4908391044426,0
833eb4fffffffff,23.12890746577514,14.556746949739123,0.0,,,,,,0.0,,,,1626.1156268307188,0
834a19fffffffff,21.69479134313976,132.52897113710443,0.0,,,,,,99.0,60.49382716049383,110.0,969.3440860215054,999.7010595927583,0
834393fffffffff,19.700225916621005,56.74319720414132,0.0,,,,,,5.0,40.0,55.0,996.75,1868.7964428265166,0
83da46fffffffff,-54.9685429269939,157.84447300169498,29.0,5.0055172413793105,6.86,13.4,15.19970136753385,9270.0,0.0,,,,2336.0221164441896,0
837143fffffffff,9.041991879443582,-164.68970722967882,0.0,,,,,,6.0,26.666666666666668,30.0,1005.3333333333334,2993.314682419089,0
833880fffffffff,26.374229671393426,-3.361699973143432,0.0,,,,,,0.0,,,,2136.456875726436,0
83cb80fffffffff,-39.83505689485314,45.92151033361187,28.0,5.104642857142856,6.2,11.3775,14.618750647336192,915.0,1.0,36.0,36.0,976.0,2266.160553378406,0
831ab0fffffffff,46.51895596162218,-56.67359506046084,0.0,,,,,,9.0,51.111111111111114,80.0,987.5555555555555,5525.3905557892995,0
83e5a4fffffffff,-57.171099038803,121.5197794562506,0.0,,,,,,0.0,,,,4470.625457737081,0
833408fffffffff,31.821991491726518,-23.69226746706554,0.0,,,,,,3.0,45.0,45.0,995.0,3482.724159275698,0
83ea35fffffffff,-63.17510986280052,-166.1673015001812,8.0,5.2375,6.0,10.0,14.045484532846285,8026.0,0.0,,,,3015.3210011840306,0
832370fffffffff,38.68915775685217,-171.24065644156082,0.0,,,,,,1.0,,,,5156.968348564961,0
839fb6fffffffff,-13.899462147214402,177.26908466809343,2.0,4.65,4.7,67.8,12.082474080687588,,22.0,39.82954545454545,81.25,988.9772727272727,786.5680765816346,0
83d4aefffffffff,-45.424761735958604,-155.37648459953684,0.0,,,,,,4.0,46.875,50.0,980.125,2434.858792212685,0
838b4dfffffffff,-9.248752755202172,-72.45988336531552,5.0,5.156,5.96,20.418,13.801648082616072,,0.0,,,,9351.735684326126,0
833e46fffffffff,27.680296493945,30.998151081615834,0.0,,,,,,0.0,,,,1103.876592707345,0
83a294fffffffff,-28.164395940966102,42.79840495431871,0.0,,,,,,18.0,36.57142857142857,60.0,994.5714285714286,1512.6752705354247,0
83b94afffffffff,-34.633326743720275,123.1864059492684,0.0,,,,,,0.0,,,,2866.750423042849,0
83a782fffffffff,-23.01248386613739,119.73135511221732,0.0,,,,,,8.0,46.25,60.0,983.75,1583.3716328595049,0
83b7a2fffffffff,-35.36216077946306,-86.98070917374032,0.0,,,,,,0.0,,,,8155.176933334167,0
838aadfffffffff,-5.098936001791613,-59.93404768083197,0.0,,,,,,0.0,,,,7919.484583114664,0
